epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,748.573,0.66824,0.44398,0.92964,0.6202,0.78088,0.66827,0.38746,1.34987,1.11239,1.38034,0.000153076,0.000153076,0.000153076
86,757.334,0.64932,0.41525,0.92425,0.64137,0.71314,0.64434,0.39206,1.35231,1.12706,1.37774,0.000144077,0.000144077,0.000144077
87,766.2,0.64764,0.46823,0.92966,0.69931,0.68792,0.6615,0.39326,1.3519,1.10406,1.3738,0.000135077,0.000135077,0.000135077
88,775.014,0.6311,0.4331,0.91406,0.80448,0.63492,0.68399,0.40138,1.32962,1.05774,1.35377,0.000126078,0.000126078,0.000126078
89,783.937,0.67135,0.44163,0.92764,0.78863,0.68358,0.66072,0.39761,1.33974,1.0885,1.36497,0.000117079,0.000117079,0.000117079
90,792.851,0.63947,0.42329,0.91817,0.78141,0.6978,0.65816,0.40073,1.3137,1.09947,1.35655,0.00010808,0.00010808,0.00010808
91,816.513,0.57859,0.37283,0.86745,0.64886,0.75973,0.64525,0.38678,1.34002,1.13289,1.37053,9.9081e-05,9.9081e-05,9.9081e-05
92,825.31,0.5943,0.37247,0.87138,0.66317,0.74944,0.64858,0.38128,1.37363,1.14378,1.39634,9.00819e-05,9.00819e-05,9.00819e-05
93,833.99,0.57705,0.36544,0.86801,0.77208,0.68252,0.66977,0.39381,1.36328,1.18445,1.39681,8.10828e-05,8.10828e-05,8.10828e-05
94,842.64,0.56076,0.35041,0.86458,0.78207,0.69066,0.67251,0.40652,1.34351,1.18414,1.38059,7.20837e-05,7.20837e-05,7.20837e-05
95,851.412,0.56567,0.3466,0.88023,0.80607,0.68062,0.67514,0.41238,1.33839,1.16248,1.37984,6.30846e-05,6.30846e-05,6.30846e-05
96,860.193,0.54758,0.33353,0.87202,0.70343,0.75516,0.67451,0.40464,1.34661,1.13696,1.37956,5.40855e-05,5.40855e-05,5.40855e-05
97,868.859,0.55103,0.34126,0.86238,0.71514,0.75614,0.67445,0.40241,1.35388,1.14966,1.37905,4.50864e-05,4.50864e-05,4.50864e-05
98,877.619,0.54501,0.34401,0.87234,0.73191,0.7493,0.67676,0.40671,1.347,1.1496,1.37627,3.60873e-05,3.60873e-05,3.60873e-05
99,886.556,0.52335,0.33287,0.84499,0.74236,0.74179,0.6737,0.4099,1.34029,1.13814,1.37523,2.70882e-05,2.70882e-05,2.70882e-05
100,895.099,0.53849,0.3331,0.8617,0.71497,0.72511,0.64415,0.40856,1.34308,1.12671,1.37977,1.80891e-05,1.80891e-05,1.80891e-05
